Bernd_Leno	4.5
Runar_Alex_Runarsson	4.0
Willian_Borges_Da_Silva	6.3
PierreEmerick_Aubameyang	9.6
Cedric_Soares	4.2
Alexandre_Lacazette	8.4
Granit_Xhaka	4.8
Pablo_Mari	4.2
Hector_Bellerin	4.8
Sead_Kolasinac	4.2
Mohamed_Naser_El_Sayed_Elneny	4.4
Ainsley_MaitlandNiles	5.2
Rob_Holding	4.1
Thomas_Partey	5.0
Kieran_Tierney	5.1
Nicolas_Pepe	6.9
Lucas_Torreira	4.5
Edward_Nketiah	5.4
Emile_Smith_Rowe	5.7
Bukayo_Saka	6.6
Gabriel_Magalhaes	5.3
Konstantinos_Mavropanos	4.5
Matteo_Guendouzi	4.5
Gabriel_Teodoro_Martinelli_Silva	5.3
William_Saliba	4.5
Ben_White	4.5
Nuno_Varela_Tavares	4.3
Albert_Sambi_Lokonga	4.8
Folarin_Balogun	4.7
Reiss_Nelson	5.0
Karl_Hein	4.0
Martin_degaard	5.5
Aaron_Ramsdale	5.1
Arthur_Okonkwo	3.9
Takehiro_Tomiyasu	4.6
Charlie_Patino	4.5
Omari_Hutchinson	4.5
SalahEddine_Oulad_Mhand	4.5
Mika_Biereth	4.5
Ryan_Alebiosu	4.0
Zach_Awe	4.0
Zak_Swanson	4.0
Calum_Chambers	4.2
Jed_Steer	3.9
Conor_Hourihane	4.9
Emiliano_Martinez	5.5
Bjorn_Engels	4.5
Bertrand_Traore	5.7
Morgan_Sanson	5.0
John_McGinn	5.7
Kortney_Hause	4.4
Mahmoud_Ahmed_Ibrahim_Hassan	5.4
Tyrone_Mings	5.0
Ollie_Watkins	7.5
Marvelous_Nakamba	4.4
Emiliano_Buendia_Stati	6.2
Matthew_Cash	5.2
Ezri_Konsa_Ngoyo	4.9
Frederic_Guilbert	4.5
Wesley_Moraes	5.4
Mbwana_Ally_Samatta	5.5
Keinan_Davis	4.5
Douglas_Luiz_Soares_de_Paulo	4.4
Jacob_Ramsey	4.8
Ashley_Young	4.7
Lucas_Digne	5.1
Danny_Ings	7.7
Leon_Bailey	6.3
Aaron_Ramsey	4.4
Jaden_PhilogeneBidace	5.0
Carney_Chukwuemeka	4.5
Cameron_Archer	4.5
Viljami_Sinisalo	4.0
Lamare_Bogarde	4.0
Tim_Iroegbunam	4.5
Filip_Marschall	4.0
Josh_Feeney	4.0
Philippe_Coutinho_Correia	7.5
Kaine_Hayden	4.0
Robin_Olsen	4.0
Benjamin_Chrisene	4.5
Tommi_OReilly	4.5
Pontus_Jansson	4.5
Christian_Nrgaard	5.0
Ivan_Toney	6.6
Tariqe_FosuHenry	5.1
David_Raya_Martin	4.3
Sergi_Canos	5.5
Pelenda_Joshua_Dasilva	5.3
Rico_Henry	4.5
Vitaly_Janelt	4.9
Saman_Ghoddos	5.3
Mathias_Jensen	4.9
Charlie_Goode	3.9
Marcus_Forss	5.3
Mads_Roerslev_Rasmussen	4.1
Mads_Bech_Srensen	4.3
Ethan_Pinnock	4.5
Ellery_Balcombe	4.0
Jan_Zamburek	4.4
