Arsenal_Bernd_Leno	Arsenal
Arsenal_Runar_Alex_Runarsson	Arsenal
Arsenal_Willian_Borges_Da_Silva	Arsenal
Arsenal_PierreEmerick_Aubameyang	Arsenal
Arsenal_Cedric_Soares	Arsenal
Arsenal_Alexandre_Lacazette	Arsenal
Arsenal_Granit_Xhaka	Arsenal
Arsenal_Pablo_Mari	Arsenal
Arsenal_Hector_Bellerin	Arsenal
Arsenal_Sead_Kolasinac	Arsenal
Arsenal_Mohamed_Naser_El_Sayed_Elneny	Arsenal
Arsenal_Ainsley_MaitlandNiles	Arsenal
Arsenal_Rob_Holding	Arsenal
Arsenal_Thomas_Partey	Arsenal
Arsenal_Kieran_Tierney	Arsenal
Arsenal_Nicolas_Pepe	Arsenal
Arsenal_Lucas_Torreira	Arsenal
Arsenal_Edward_Nketiah	Arsenal
Arsenal_Emile_Smith_Rowe	Arsenal
Arsenal_Bukayo_Saka	Arsenal
Arsenal_Gabriel_Magalhaes	Arsenal
Arsenal_Konstantinos_Mavropanos	Arsenal
Arsenal_Matteo_Guendouzi	Arsenal
Arsenal_Gabriel_Teodoro_Martinelli_Silva	Arsenal
Arsenal_William_Saliba	Arsenal
Arsenal_Ben_White	Arsenal
Arsenal_Nuno_Varela_Tavares	Arsenal
Arsenal_Albert_Sambi_Lokonga	Arsenal
Arsenal_Folarin_Balogun	Arsenal
Arsenal_Reiss_Nelson	Arsenal
Arsenal_Karl_Hein	Arsenal
Arsenal_Martin_degaard	Arsenal
Arsenal_Aaron_Ramsdale	Arsenal
Arsenal_Arthur_Okonkwo	Arsenal
Arsenal_Takehiro_Tomiyasu	Arsenal
Arsenal_Charlie_Patino	Arsenal
Arsenal_Omari_Hutchinson	Arsenal
Arsenal_SalahEddine_Oulad_Mhand	Arsenal
Arsenal_Mika_Biereth	Arsenal
Arsenal_Ryan_Alebiosu	Arsenal
Arsenal_Zach_Awe	Arsenal
Arsenal_Zak_Swanson	Arsenal
Arsenal_Mazeed_Ogungbo	Arsenal
Arsenal_Marcelo_Flores	Arsenal
Arsenal_Miguel_Azeez	Arsenal
Arsenal_Alex_Kirk	Arsenal
Aston_Villa_Calum_Chambers	Aston Villa
Aston_Villa_Jed_Steer	Aston Villa
Aston_Villa_Conor_Hourihane	Aston Villa
Aston_Villa_Emiliano_Martinez	Aston Villa
Aston_Villa_Bjorn_Engels	Aston Villa
Aston_Villa_Bertrand_Traore	Aston Villa
Aston_Villa_Morgan_Sanson	Aston Villa
Aston_Villa_John_McGinn	Aston Villa
Aston_Villa_Kortney_Hause	Aston Villa
Aston_Villa_Mahmoud_Ahmed_Ibrahim_Hassan	Aston Villa
Aston_Villa_Tyrone_Mings	Aston Villa
Aston_Villa_Ollie_Watkins	Aston Villa
Aston_Villa_Marvelous_Nakamba	Aston Villa
Aston_Villa_Emiliano_Buendia_Stati	Aston Villa
Aston_Villa_Matthew_Cash	Aston Villa
Aston_Villa_Ezri_Konsa_Ngoyo	Aston Villa
Aston_Villa_Frederic_Guilbert	Aston Villa
Aston_Villa_Wesley_Moraes	Aston Villa
Aston_Villa_Mbwana_Ally_Samatta	Aston Villa
Aston_Villa_Keinan_Davis	Aston Villa
Aston_Villa_Douglas_Luiz_Soares_de_Paulo	Aston Villa
Aston_Villa_Jacob_Ramsey	Aston Villa
Aston_Villa_Ashley_Young	Aston Villa
Aston_Villa_Lucas_Digne	Aston Villa
Aston_Villa_Danny_Ings	Aston Villa
Aston_Villa_Leon_Bailey	Aston Villa
Aston_Villa_Aaron_Ramsey	Aston Villa
Aston_Villa_Jaden_PhilogeneBidace	Aston Villa
Aston_Villa_Carney_Chukwuemeka	Aston Villa
Aston_Villa_Cameron_Archer	Aston Villa
Aston_Villa_Viljami_Sinisalo	Aston Villa
Aston_Villa_Lamare_Bogarde	Aston Villa
Aston_Villa_Tim_Iroegbunam	Aston Villa
Aston_Villa_Filip_Marschall	Aston Villa
Aston_Villa_Josh_Feeney	Aston Villa
Aston_Villa_Philippe_Coutinho_Correia	Aston Villa
Aston_Villa_Kaine_Hayden	Aston Villa
Aston_Villa_Robin_Olsen	Aston Villa
Aston_Villa_Benjamin_Chrisene	Aston Villa
Aston_Villa_Tommi_OReilly	Aston Villa
Brentford_Pontus_Jansson	Brentford
Brentford_Christian_Nrgaard	Brentford
Brentford_Ivan_Toney	Brentford
Brentford_Tariqe_FosuHenry	Brentford
Brentford_David_Raya_Martin	Brentford
Brentford_Sergi_Canos	Brentford
Brentford_Pelenda_Joshua_Dasilva	Brentford
Brentford_Rico_Henry	Brentford
Brentford_Vitaly_Janelt	Brentford
Brentford_Saman_Ghoddos	Brentford
Brentford_Mathias_Jensen	Brentford
Brentford_Charlie_Goode	Brentford
Brentford_Marcus_Forss	Brentford
Brentford_Mads_Roerslev_Rasmussen	Brentford
Brentford_Mads_Bech_Srensen	Brentford
Brentford_Ethan_Pinnock	Brentford
Brentford_Ellery_Balcombe	Brentford
Brentford_Jan_Zamburek	Brentford
Brentford_Patrik_Gunnarsson	Brentford
Brentford_Halil_Dervisoglu	Brentford
Brentford_Bryan_Mbeumo	Brentford
Brentford_Mads_Bidstrup	Brentford
Brentford_Frank_Onyeka	Brentford
Brentford_Kristoffer_Ajer	Brentford
Brentford_Dominic_Thompson	Brentford
Brentford_Shandon_Baptiste	Brentford
Brentford_Yoane_Wissa	Brentford
Brentford_Alvaro_Fernandez	Brentford
Brentford_Finley_Stevens	Brentford
Brentford_Mathias_Jorgensen	Brentford
Brentford_Paris_Maghoma	Brentford
Brentford_Matthew_Cox	Brentford
Brentford_Maxwell_Haygarth	Brentford
Brentford_Nathan_YoungCoombes	Brentford
Brentford_Myles_PeartHarris	Brentford
Brentford_Jonas_Lossl	Brentford
